"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Wallet provider","Input wallet UI","As a normal user when open wallet input page, I can use price banner","0","0","1","0","0"
"Wallet provider","Error handler","As user, when send invalid wallet addresses, then app should maintain the current address path","0","0","1","0","0"
"Wallet provider","Error handler","As user, when send too long wallet address, info should be raise","0","0","1","0","0"
"Home page","Routing app","As normal user, when I open base app URL, then app redirect to URL path '/wallet'","0","0","1","0","0"
"Wallet provider","Error handler","As user, when send multiple wallet addresses with incorrect syntax, info should be raise","0","0","1","0","0"
"Wallet provider","Error handler","As user, when send blank wallet address, info should be raise","0","0","1","0","0"
"Wallet provider","Error handler","As user, when send wallet address with illegal char, info should be raise","0","0","1","0","0"
"Wallet provider","Error handler","As user, when send invalid wallet address, info should be raise","0","0","1","0","0"
"Wallet provider","Error handler","As user, when send wallet addresses and only ETH price is not available, then system show error toast","0","0","1","0","0"
"Wallet provider","Error handler","As user, when send too short wallet address, info should be raise","0","0","1","0","0"
"Wallet provider","Input wallet UI","As a normal user, when I type ETH wallet address and press enter key I want to open balance page","0","0","1","0","0"
"Wallet provider","Input wallet UI","As a normal user, I want to see description which tokens are handle","0","0","1","0","0"
"Wallet provider","Input wallet UI","As a normal user, I want to see app title","0","0","1","0","0"
"Wallet provider","Input wallet UI","As a normal user, when I type ETH wallet address and press send button I want to open balance page","0","0","1","0","0"
"Wallet provider","Error handler","As user, when send wallet addresses and ETH, MATIC price is not available, then system show error toast","0","0","1","0","0"
"Wallet provider","Input wallet UI","As a normal user, when I type ETH wallet address refresh page or back from other page then wallet address should be maintained in the input wallets","0","0","1","0","0"
"Wallet provider","Input wallet UI","As a normal user, I can see placeholder in input field","0","0","1","0","0"
"Wallet provider","Input wallet UI","As a normal user, I can use navbar in wallets page","0","0","1","0","0"
