"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jun 30 22:56:41 GMT 2023","Fri Jun 30 22:56:46 GMT 2023","4761","","pl.kargolek.tests.TotalValueServiceTest","","pl.kargolek.tests.TotalValueServiceTest","whenProvideOneWallet_thenProperTotalValueData","whenProvideOneWallet_thenProperTotalValueData(TestData)","Total value is number which represents total value of each token balance"
"passed","Fri Jun 30 22:51:57 GMT 2023","Fri Jun 30 22:51:58 GMT 2023","103","","CryptoPriceService API Test - negative","","As user when PUT json data to the resource /cryptocurrency/{id_not_available} without property name","","As user when PUT json data to the resource /cryptocurrency/{id_not_available} without property name",""
"passed","Fri Jun 30 22:54:52 GMT 2023","Fri Jun 30 22:54:58 GMT 2023","5813","","pl.kargolek.tests.BalanceUITest","","pl.kargolek.tests.BalanceUITest","whenClickOnEthereumWalletAddress_thenOpenExplorerPage","whenClickOnEthereumWalletAddress_thenOpenExplorerPage(TestData, WebDriver)","Wallet explorers for test: ETH: https://goerli.etherscan.io/address/. All addresses belong to the testnet for each token."
"passed","Fri Jun 30 22:52:10 GMT 2023","Fri Jun 30 22:52:10 GMT 2023","168","","WalletService API Test - positive","","As user GET resource /api/v1/wallet/avax/balance for single wallet","","As user GET resource /api/v1/wallet/avax/balance for single wallet",""
"passed","Fri Jun 30 22:52:01 GMT 2023","Fri Jun 30 22:52:01 GMT 2023","139","","WalletService API Test - negative","","As user GET resource /api/v1/wallet/eth/balance with one wallet address query param is invalid","","As user GET resource /api/v1/wallet/eth/balance with one wallet address query param is invalid",""
"passed","Fri Jun 30 22:52:09 GMT 2023","Fri Jun 30 22:52:10 GMT 2023","1584","","WalletService API Test - positive","","As user GET resource /api/v1/wallet/matic/balance for 44 wallet addresses","","As user GET resource /api/v1/wallet/matic/balance for 44 wallet addresses",""
"passed","Fri Jun 30 22:51:55 GMT 2023","Fri Jun 30 22:51:55 GMT 2023","146","","CryptoPriceService API Test - negative","","As user when POST json data to the resource /cryptocurrency without property symbol","","As user when POST json data to the resource /cryptocurrency without property symbol",""
"passed","Fri Jun 30 22:53:59 GMT 2023","Fri Jun 30 22:54:06 GMT 2023","6866","","pl.kargolek.tests.BalanceUITest","","pl.kargolek.tests.BalanceUITest","whenWalletValid_thenMaticBalanceComponent","whenWalletValid_thenMaticBalanceComponent(TestData)","MATIC balance component for valid wallet"
"passed","Fri Jun 30 22:51:58 GMT 2023","Fri Jun 30 22:51:58 GMT 2023","139","","CryptoPriceService API Test - negative","","As user when PUT json data to the resource /cryptocurrency/{id_available} too long platform property","","As user when PUT json data to the resource /cryptocurrency/{id_available} too long platform property",""
"passed","Fri Jun 30 22:55:28 GMT 2023","Fri Jun 30 22:55:34 GMT 2023","6233","","pl.kargolek.tests.WalletProviderErrorHandlerTest","","pl.kargolek.tests.WalletProviderErrorHandlerTest","whenToLongWalletAddress_thenInfoToast","whenToLongWalletAddress_thenInfoToast(TestData, SoftAssertions)","For too long address system should inform user about wrong action"
"passed","Fri Jun 30 22:51:58 GMT 2023","Fri Jun 30 22:51:58 GMT 2023","109","","CryptoPriceService API Test - negative","","As user when PUT json data to the resource /cryptocurrency/{id_available} too short platform property","","As user when PUT json data to the resource /cryptocurrency/{id_available} too short platform property",""
"passed","Fri Jun 30 22:52:05 GMT 2023","Fri Jun 30 22:52:05 GMT 2023","200","","WalletService API Test - negative","","As user GET resource /api/v1/wallet/avax/balance with empty prices for AVAX","","As user GET resource /api/v1/wallet/avax/balance with empty prices for AVAX",""
"passed","Fri Jun 30 22:54:45 GMT 2023","Fri Jun 30 22:54:52 GMT 2023","6977","","pl.kargolek.tests.BalanceUITest","","pl.kargolek.tests.BalanceUITest","whenRefreshThePage_thenDataMaintain","whenRefreshThePage_thenDataMaintain(TestData, WebDriver)",""
"passed","Fri Jun 30 22:52:03 GMT 2023","Fri Jun 30 22:52:03 GMT 2023","83","","WalletService API Test - negative","","As user GET resource /api/v1/wallet/matic/balance with one wallet address query param is invalid","","As user GET resource /api/v1/wallet/matic/balance with one wallet address query param is invalid",""
"passed","Fri Jun 30 22:52:01 GMT 2023","Fri Jun 30 22:52:01 GMT 2023","114","","WalletService API Test - negative","","As user GET resource /api/v1/wallet/eth/balance with invalid too long wallet address","","As user GET resource /api/v1/wallet/eth/balance with invalid too long wallet address",""
"passed","Fri Jun 30 22:51:59 GMT 2023","Fri Jun 30 22:51:59 GMT 2023","86","","CryptoPriceService API Test - positive","","As user GET and query resource by name /cryptocurrency?name={token_name_available},{token_name_available}","","As user GET and query resource by name /cryptocurrency?name={token_name_available},{token_name_available}",""
"passed","Fri Jun 30 22:53:02 GMT 2023","Fri Jun 30 22:53:06 GMT 2023","3794","","pl.kargolek.tests.InputWalletsUITest","","pl.kargolek.tests.InputWalletsUITest","whenOpenWalletPage_thenNavbarShouldBeDisplay","whenOpenWalletPage_thenNavbarShouldBeDisplay()","Navbar is enable in the wallets page"
