"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 26 14:33:29 GMT 2023","Mon Jun 26 14:33:29 GMT 2023","102","","CryptoPriceService API Test - positive","","As user GET and query resource by name /cryptocurrency/{id_available_2}","","As user GET and query resource by name /cryptocurrency/{id_available_2}",""
"passed","Mon Jun 26 14:33:35 GMT 2023","Mon Jun 26 14:33:36 GMT 2023","106","","WalletService API Test - negative","","As user GET resource /api/v1/wallet/avax/balance with invalid wallet","","As user GET resource /api/v1/wallet/avax/balance with invalid wallet",""
"passed","Mon Jun 26 14:33:25 GMT 2023","Mon Jun 26 14:33:25 GMT 2023","442","","CryptoPriceService API Test - negative","","As user when POST json data to the resource /cryptocurrency property symbol not allowed char","","As user when POST json data to the resource /cryptocurrency property symbol not allowed char",""
"passed","Mon Jun 26 14:33:36 GMT 2023","Mon Jun 26 14:33:37 GMT 2023","353","","WalletService API Test - negative","","As user GET resource /api/v1/wallet/avax/balance with current price for AVAX is null","","As user GET resource /api/v1/wallet/avax/balance with current price for AVAX is null",""
"passed","Mon Jun 26 14:33:35 GMT 2023","Mon Jun 26 14:33:35 GMT 2023","129","","WalletService API Test - negative","","As user GET resource /api/v1/wallet/matic/balance with invalid query param syntax","","As user GET resource /api/v1/wallet/matic/balance with invalid query param syntax",""
"passed","Mon Jun 26 14:33:29 GMT 2023","Mon Jun 26 14:33:30 GMT 2023","354","","CryptoPriceService API Test - positive","","As user when POST json data to the resource /cryptocurrency","","As user when POST json data to the resource /cryptocurrency",""
"passed","Mon Jun 26 14:33:24 GMT 2023","Mon Jun 26 14:33:24 GMT 2023","194","","CryptoPriceService API Test - negative","","As user when POST json data to the resource /cryptocurrency property name too short","","As user when POST json data to the resource /cryptocurrency property name too short",""
"passed","Mon Jun 26 14:33:17 GMT 2023","Mon Jun 26 14:33:20 GMT 2023","2793","","CryptoPriceService API Test - empty db","","As user when db empty and GET resource /cryptocurrency/contract-address/{address}","","As user when db empty and GET resource /cryptocurrency/contract-address/{address}",""
"passed","Mon Jun 26 14:33:25 GMT 2023","Mon Jun 26 14:33:26 GMT 2023","120","","CryptoPriceService API Test - negative","","As user when POST json data to the resource /cryptocurrency with unknown properties","","As user when POST json data to the resource /cryptocurrency with unknown properties",""
"passed","Mon Jun 26 14:33:31 GMT 2023","Mon Jun 26 14:33:31 GMT 2023","128","","WalletService API Test - negative","","As user GET resource /api/v1/wallet/eth/balance with one wallet address query param is invalid","","As user GET resource /api/v1/wallet/eth/balance with one wallet address query param is invalid",""
"passed","Mon Jun 26 14:33:32 GMT 2023","Mon Jun 26 14:33:32 GMT 2023","106","","WalletService API Test - negative","","As user GET resource /api/v1/wallet/eth/balance with invalid query param syntax","","As user GET resource /api/v1/wallet/eth/balance with invalid query param syntax",""
"passed","Mon Jun 26 14:33:31 GMT 2023","Mon Jun 26 14:33:31 GMT 2023","466","","WalletService API Test - negative","","As user GET resource /api/v1/wallet/eth/balance with invalid wallet","","As user GET resource /api/v1/wallet/eth/balance with invalid wallet",""
"passed","Mon Jun 26 14:33:34 GMT 2023","Mon Jun 26 14:33:34 GMT 2023","99","","WalletService API Test - negative","","As user GET resource /api/v1/wallet/matic/balance with invalid too long wallet address","","As user GET resource /api/v1/wallet/matic/balance with invalid too long wallet address",""
"passed","Mon Jun 26 14:33:37 GMT 2023","Mon Jun 26 14:33:37 GMT 2023","215","","WalletService API Test - positive","","As user GET resource /api/v1/wallet/eth/balance for multiple wallets","","As user GET resource /api/v1/wallet/eth/balance for multiple wallets",""
"passed","Mon Jun 26 14:33:30 GMT 2023","Mon Jun 26 14:33:30 GMT 2023","119","","CryptoPriceService API Test - positive","","As user when PUT json data to the resource /cryptocurrency/{id}","","As user when PUT json data to the resource /cryptocurrency/{id}",""
"passed","Mon Jun 26 14:33:28 GMT 2023","Mon Jun 26 14:33:29 GMT 2023","92","","CryptoPriceService API Test - positive","","As user GET and query resource by name /cryptocurrency?name={token_name_available}","","As user GET and query resource by name /cryptocurrency?name={token_name_available}",""
"passed","Mon Jun 26 14:33:17 GMT 2023","Mon Jun 26 14:33:17 GMT 2023","283","","CryptoPriceService API Test - empty db","","As user when db empty and GET and query resource by name /cryptocurrency?name={token_name}","","As user when db empty and GET and query resource by name /cryptocurrency?name={token_name}",""
"passed","Mon Jun 26 14:33:28 GMT 2023","Mon Jun 26 14:33:28 GMT 2023","129","","CryptoPriceService API Test - negative","","As user when DELETE resource /cryptocurrency/{id_not_available}","","As user when DELETE resource /cryptocurrency/{id_not_available}",""
"passed","Mon Jun 26 14:33:37 GMT 2023","Mon Jun 26 14:33:38 GMT 2023","222","","WalletService API Test - positive","","As user GET resource /api/v1/wallet/eth/balance for empty wallet","","As user GET resource /api/v1/wallet/eth/balance for empty wallet",""
"passed","Mon Jun 26 14:33:39 GMT 2023","Mon Jun 26 14:33:39 GMT 2023","198","","WalletService API Test - positive","","As user GET resource /api/v1/wallet/matic/balance for empty wallet and not empty wallet","","As user GET resource /api/v1/wallet/matic/balance for empty wallet and not empty wallet",""
"passed","Mon Jun 26 14:33:32 GMT 2023","Mon Jun 26 14:33:34 GMT 2023","1742","","WalletService API Test - negative","","As user GET resource /api/v1/wallet/eth/balance with current price for ETH is null","","As user GET resource /api/v1/wallet/eth/balance with current price for ETH is null",""
"passed","Mon Jun 26 14:33:36 GMT 2023","Mon Jun 26 14:33:36 GMT 2023","150","","WalletService API Test - negative","","As user GET resource /api/v1/wallet/avax/balance with empty prices for AVAX","","As user GET resource /api/v1/wallet/avax/balance with empty prices for AVAX",""
"passed","Mon Jun 26 14:33:29 GMT 2023","Mon Jun 26 14:33:29 GMT 2023","115","","CryptoPriceService API Test - positive","","As user GET and query resource by name /cryptocurrency?name={token_name_available},{token_name_not_available}","","As user GET and query resource by name /cryptocurrency?name={token_name_available},{token_name_not_available}",""
"passed","Mon Jun 26 14:33:26 GMT 2023","Mon Jun 26 14:33:27 GMT 2023","192","","CryptoPriceService API Test - negative","","As user when PUT json data to the resource /cryptocurrency/{id_available} without property symbol","","As user when PUT json data to the resource /cryptocurrency/{id_available} without property symbol",""
"passed","Mon Jun 26 14:33:40 GMT 2023","Mon Jun 26 14:33:40 GMT 2023","196","","WalletService API Test - positive","","As user GET resource /api/v1/wallet/avax/balance for multiple wallets in single query param","","As user GET resource /api/v1/wallet/avax/balance for multiple wallets in single query param",""
"passed","Mon Jun 26 14:33:27 GMT 2023","Mon Jun 26 14:33:28 GMT 2023","154","","CryptoPriceService API Test - negative","","As user when PUT json data to the resource /cryptocurrency/{id_available} too short tokenAddress property","","As user when PUT json data to the resource /cryptocurrency/{id_available} too short tokenAddress property",""
"passed","Mon Jun 26 14:33:27 GMT 2023","Mon Jun 26 14:33:27 GMT 2023","116","","CryptoPriceService API Test - negative","","As user when PUT json data to the resource /cryptocurrency/{id_available} too long platform property","","As user when PUT json data to the resource /cryptocurrency/{id_available} too long platform property",""
"passed","Mon Jun 26 14:33:38 GMT 2023","Mon Jun 26 14:33:38 GMT 2023","181","","WalletService API Test - positive","","As user GET resource /api/v1/wallet/eth/balance for empty wallet  and not empty wallet","","As user GET resource /api/v1/wallet/eth/balance for empty wallet  and not empty wallet",""
