"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Nov 14 21:35:20 GMT 2023","Tue Nov 14 21:35:24 GMT 2023","3836","","pl.kargolek.tests.BalanceUIAsyncTest","","pl.kargolek.tests.BalanceUIAsyncTest","whenWalletValid_thenEthBalanceComponent","whenWalletValid_thenEthBalanceComponent(TestData, WebDriver)","ETH balance component for valid wallet"
"passed","Tue Nov 14 21:34:09 GMT 2023","Tue Nov 14 21:34:11 GMT 2023","2787","","pl.kargolek.tests.HomePageTest","","pl.kargolek.tests.HomePageTest","whenOpenAppBaseURL_thenRedirectToWalletPath","whenOpenAppBaseURL_thenRedirectToWalletPath(WebDriver, InitPages)","Opening main URL app runs routing to /wallet path"
"passed","Tue Nov 14 21:34:56 GMT 2023","Tue Nov 14 21:35:01 GMT 2023","4673","","pl.kargolek.tests.BalanceUIAsyncTest","","pl.kargolek.tests.BalanceUIAsyncTest","whenMultipleAddress_thenCanScrollToLastElementOnPage","whenMultipleAddress_thenCanScrollToLastElementOnPage(TestData, WebDriver, JavascriptDriver, SoftAssertions)",""
"passed","Tue Nov 14 21:34:51 GMT 2023","Tue Nov 14 21:34:56 GMT 2023","4763","","pl.kargolek.tests.BalanceUIAsyncTest","","pl.kargolek.tests.BalanceUIAsyncTest","whenWalletValid_thenHeadersForSymbolTotalAmountTotalValueHeader","whenWalletValid_thenHeadersForSymbolTotalAmountTotalValueHeader(TestData, SoftAssertions)",""
"passed","Tue Nov 14 21:34:27 GMT 2023","Tue Nov 14 21:34:36 GMT 2023","8916","","pl.kargolek.tests.BalanceUIAsyncTest","","pl.kargolek.tests.BalanceUIAsyncTest","whenPressSwitchWalletBalanceDetailView_thenViewIsChanged","whenPressSwitchWalletBalanceDetailView_thenViewIsChanged(TestData, SoftAssertions)","View can be switch 1. [Address, Amount, Value] 2. [1H, 24h, 7D] 3. [30D, 60D, 90D]"
"passed","Tue Nov 14 21:34:44 GMT 2023","Tue Nov 14 21:34:47 GMT 2023","3429","","pl.kargolek.tests.BalanceUIAsyncTest","","pl.kargolek.tests.BalanceUIAsyncTest","whenWalletValid_thenMaticBalanceComponent","whenWalletValid_thenMaticBalanceComponent(TestData)","MATIC balance component for valid wallet"
"passed","Tue Nov 14 21:35:16 GMT 2023","Tue Nov 14 21:35:20 GMT 2023","3756","","pl.kargolek.tests.BalanceUIAsyncTest","","pl.kargolek.tests.BalanceUIAsyncTest","whenWalletValid_thenAvaxBalanceComponent","whenWalletValid_thenAvaxBalanceComponent(TestData)","AVAX balance component for valid wallet"
"passed","Tue Nov 14 21:34:20 GMT 2023","Tue Nov 14 21:34:27 GMT 2023","6686","","pl.kargolek.tests.BalanceUIAsyncTest","","pl.kargolek.tests.BalanceUIAsyncTest","whenMultipleWallets_thenAddressesAreInTheProperColumn","whenMultipleWallets_thenAddressesAreInTheProperColumn(TestData, SoftAssertions)","Address is reduce to 11 char."
"passed","Tue Nov 14 21:35:12 GMT 2023","Tue Nov 14 21:35:16 GMT 2023","3711","","pl.kargolek.tests.BalanceUIAsyncTest","","pl.kargolek.tests.BalanceUIAsyncTest","whenMultipleWallets_thenCounterShowsTheNumber","whenMultipleWallets_thenCounterShowsTheNumber(TestData)",""
"passed","Tue Nov 14 21:33:46 GMT 2023","Tue Nov 14 21:34:03 GMT 2023","16839","","pl.kargolek.tests.BalanceUITest","","pl.kargolek.tests.BalanceUITest","whenCurrentPriceLowerThanPastPrices_thenValuesAreGreen","whenCurrentPriceLowerThanPastPrices_thenValuesAreGreen(TestDataSql, TestData, SoftAssertions)","Higher past token values should have color green: rgba(7, 243, 107, 1)"
"passed","Tue Nov 14 21:35:04 GMT 2023","Tue Nov 14 21:35:08 GMT 2023","3996","","pl.kargolek.tests.BalanceUIAsyncTest","","pl.kargolek.tests.BalanceUIAsyncTest","whenRefreshThePage_thenDataMaintain","whenRefreshThePage_thenDataMaintain(TestData, WebDriver)",""
"passed","Tue Nov 14 21:34:03 GMT 2023","Tue Nov 14 21:34:08 GMT 2023","5790","","pl.kargolek.tests.BalanceUITest","","pl.kargolek.tests.BalanceUITest","whenCurrentPriceHigherThanPastPrices_thenValuesAreRed","whenCurrentPriceHigherThanPastPrices_thenValuesAreRed(TestData, SoftAssertions)","Lower past token values should have color red: rgba(255, 77, 0, 1)"
"passed","Tue Nov 14 21:34:11 GMT 2023","Tue Nov 14 21:34:16 GMT 2023","4278","","pl.kargolek.tests.BalanceUIAsyncTest","","pl.kargolek.tests.BalanceUIAsyncTest","whenWalletValid_thenTotalValue","whenWalletValid_thenTotalValue(TestData, SoftAssertions, WebDriver)","Total asset value based on the value of each wallet for each token"
"passed","Tue Nov 14 21:34:16 GMT 2023","Tue Nov 14 21:34:20 GMT 2023","4438","","pl.kargolek.tests.BalanceUIAsyncTest","","pl.kargolek.tests.BalanceUIAsyncTest","whenClickOnOpenExplorerForAvalancheWalletAddress_thenOpenExplorerPage","whenClickOnOpenExplorerForAvalancheWalletAddress_thenOpenExplorerPage(TestData, WebDriver)","Wallet explorer for test: AVAX: https://testnet.snowtrace.io/address/. All addresses belong to the testnet."
"passed","Tue Nov 14 21:34:47 GMT 2023","Tue Nov 14 21:34:51 GMT 2023","3939","","pl.kargolek.tests.BalanceUIAsyncTest","","pl.kargolek.tests.BalanceUIAsyncTest","whenClickOnOpenExplorerForPolygonWalletAddress_thenOpenExplorerPage","whenClickOnOpenExplorerForPolygonWalletAddress_thenOpenExplorerPage(TestData, WebDriver)","Wallet explorer for test: MATIC: https://mumbai.polygonscan.com/address/All addresses belong to the testnet."
"passed","Tue Nov 14 21:35:01 GMT 2023","Tue Nov 14 21:35:04 GMT 2023","3702","","pl.kargolek.tests.BalanceUIAsyncTest","","pl.kargolek.tests.BalanceUIAsyncTest","whenNavigateBackAndForwardPage_thenDataMaintain","whenNavigateBackAndForwardPage_thenDataMaintain(TestData, WebDriver)",""
